,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,40,1,0.114,0.000461,0.11,0.004,0.0
1,256,40,4,0.114,0.000411,0.109,0.004,0.0
2,256,40,8,0.111,0.000393,0.107,0.004,0.0
3,256,40,16,0.112,0.000375,0.108,0.004,0.0
4,512,20,1,0.115,0.000476,0.111,0.004,0.0
5,512,20,4,0.115,0.000384,0.111,0.004,0.0
6,512,20,8,0.114,0.000385,0.11,0.004,0.0
7,512,20,16,0.112,0.000385,0.108,0.004,0.0
8,1024,10,1,0.114,0.000482,0.11,0.004,0.0
9,1024,10,4,0.114,0.000387,0.11,0.004,0.0
10,1024,10,8,0.112,0.000388,0.108,0.004,0.0
11,1024,10,16,0.113,0.0004,0.109,0.004,0.0
