,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,40,1,0.113,0.000467,0.108,0.005,0.0
1,256,40,4,0.114,0.000404,0.109,0.005,0.0
2,256,40,8,0.112,0.000396,0.107,0.005,0.0
3,256,40,16,0.113,0.000385,0.108,0.005,0.0
4,512,20,1,0.115,0.000463,0.11,0.005,0.0
5,512,20,4,0.115,0.000378,0.11,0.005,0.0
6,512,20,8,0.113,0.000387,0.108,0.005,0.0
7,512,20,16,0.113,0.000385,0.108,0.005,0.0
8,1024,10,1,0.113,0.000461,0.108,0.005,0.0
9,1024,10,4,0.113,0.000404,0.108,0.005,0.0
10,1024,10,8,0.112,0.000391,0.107,0.005,0.0
11,1024,10,16,0.112,0.000399,0.107,0.005,0.0
