,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,391,1,0.183205,0.000730,0.122000,0.059568,0.002477
1,256,391,4,0.182739,0.000676,0.120783,0.060196,0.001543
2,256,391,8,0.180286,0.000712,0.119061,0.059776,0.001327
3,256,391,16,0.179178,0.000717,0.118444,0.059400,0.001267
4,512,196,1,0.183122,0.000745,0.121976,0.059659,0.002610
5,512,196,4,0.183696,0.000679,0.122043,0.060022,0.001522
6,512,196,8,0.180796,0.000703,0.119490,0.059959,0.001367
7,512,196,16,0.181267,0.000709,0.119711,0.059933,0.001244
8,1024,98,1,0.185717,0.000738,0.124543,0.059761,0.002761
9,1024,98,4,0.183667,0.000651,0.121854,0.060167,0.001438
10,1024,98,8,0.183277,0.000719,0.121234,0.060489,0.001362
11,1024,98,16,0.181884,0.000727,0.120465,0.059814,0.001326
