,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,3907,1,1.389556,0.001990,0.193911,1.152289,0.063133
1,256,3907,4,1.339383,0.001873,0.151957,1.143702,0.025362
2,256,3907,8,1.326091,0.001953,0.146432,1.136364,0.019659
3,256,3907,16,1.323022,0.001990,0.145911,1.133733,0.019200
4,512,1954,1,1.367348,0.002008,0.191543,1.132261,0.061630
5,512,1954,4,1.336146,0.001877,0.153167,1.139042,0.024667
6,512,1954,8,1.329826,0.001974,0.145696,1.140543,0.020304
7,512,1954,16,1.331837,0.002012,0.144907,1.143093,0.018791
8,1024,977,1,1.374468,0.002026,0.190851,1.140234,0.061915
9,1024,977,4,1.335812,0.001867,0.152292,1.139500,0.024479
10,1024,977,8,1.333295,0.002001,0.148795,1.140909,0.021068
11,1024,977,16,1.323756,0.002002,0.144289,1.135667,0.018978
