,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,3907,1,1.462,0.001782,0.207,1.212,0.085
1,256,3907,4,1.412,0.001649,0.15,1.213,0.031
2,256,3907,8,1.416,0.001704,0.143,1.217,0.022
3,256,3907,16,1.407,0.001677,0.144,1.219,0.021
4,512,1954,1,1.466,0.001734,0.208,1.215,0.086
5,512,1954,4,1.424,0.001627,0.15,1.221,0.031
6,512,1954,8,1.408,0.00171,0.141,1.216,0.022
7,512,1954,16,1.407,0.001723,0.14,1.213,0.021
8,1024,977,1,1.463,0.001768,0.209,1.205,0.085
9,1024,977,4,1.418,0.001618,0.152,1.212,0.031
10,1024,977,8,1.409,0.001693,0.141,1.214,0.022
11,1024,977,16,1.408,0.001754,0.14,1.211,0.022
